INFO 2025-05-29 12:13:17,628 autoreload 148377 134545810408896 Watching for file changes with StatReloader
INFO 2025-05-29 12:14:14,505 autoreload 148510 134129173456320 Watching for file changes with StatReloader
INFO 2025-05-29 12:14:17,450 autoreload 148510 134129173456320 /home/dave/root/AgriConnect/AgriConnect/settings.py changed, reloading.
INFO 2025-05-29 12:15:01,584 ai_chatbot 148534 123875248567744 Creating new AIChatbot instance
INFO 2025-05-29 12:15:01,585 ai_chatbot 148534 123875248567744 Initializing AIChatbot...
INFO 2025-05-29 12:15:01,585 ai_chatbot 148534 123875248567744 Attempting to load Blenderbot model...
INFO 2025-05-29 12:15:01,585 ai_chatbot 148534 123875248567744 Using device: cpu
INFO 2025-05-29 12:15:01,585 ai_chatbot 148534 123875248567744 Loading tokenizer...
INFO 2025-05-29 12:15:12,250 ai_chatbot 148534 123875248567744 Tokenizer loaded successfully
INFO 2025-05-29 12:15:12,251 ai_chatbot 148534 123875248567744 Loading model...
INFO 2025-05-29 12:16:51,970 ai_chatbot 148534 123875248567744 Model loaded successfully
INFO 2025-05-29 12:16:52,028 ai_chatbot 148534 123875248567744 Testing model with sample input...
INFO 2025-05-29 12:17:50,281 ai_chatbot 148534 123875248567744 Model test successful. Test response:  I don't know how to get out of this place. I feel like I'm going to die.
INFO 2025-05-29 12:17:50,282 ai_chatbot 148534 123875248567744 Successfully loaded and tested Blenderbot model
INFO 2025-05-29 12:17:50,282 ai_chatbot 148534 123875248567744 AIChatbot initialization complete
INFO 2025-05-29 12:17:50,282 apps 148534 123875248567744 Chatbot app initialized
INFO 2025-05-29 12:17:50,475 autoreload 148534 123875248567744 Watching for file changes with StatReloader
WARNING 2025-05-29 12:18:09,785 log 148534 123870820316864 Not Found: /ws/notifications/
INFO 2025-05-29 12:18:16,542 views 148534 123870820316864 Successfully retrieved product info for product ID: 9
INFO 2025-05-29 12:18:16,543 views 148534 123870820316864 Message 'hey' matched pattern '\b(?:hello|hi|hey|greetings|hola|bonjour)\b' with intent 'greeting'
INFO 2025-05-29 12:18:16,543 views 148534 123870820316864 Detected intent 'greeting' for message: 'hey'
INFO 2025-05-29 12:18:20,383 views 148534 123870820316864 Successfully retrieved product info for product ID: 9
INFO 2025-05-29 12:18:20,384 views 148534 123870820316864 Message 'hello' matched pattern '\b(?:hello|hi|hey|greetings|hola|bonjour)\b' with intent 'greeting'
INFO 2025-05-29 12:18:20,384 views 148534 123870820316864 Detected intent 'greeting' for message: 'hello'
INFO 2025-05-29 12:18:33,404 views 148534 123870820316864 Successfully retrieved product info for product ID: 9
INFO 2025-05-29 12:18:33,406 views 148534 123870820316864 Message 'how have you been doing lately?' matched pattern '\b(?:have|left|remain|stock)\b' with intent 'availability'
INFO 2025-05-29 12:18:33,407 views 148534 123870820316864 Detected intent 'availability' for message: 'how have you been doing lately?'
INFO 2025-05-29 12:18:40,906 views 148534 123870820316864 Successfully retrieved product info for product ID: 9
INFO 2025-05-29 12:18:40,907 views 148534 123870820316864 No intent matched for message: 'sd'
INFO 2025-05-29 12:18:40,908 views 148534 123870820316864 Detected intent 'unknown' for message: 'sd'
INFO 2025-05-29 12:18:42,470 views 148534 123870820316864 Successfully retrieved product info for product ID: 9
INFO 2025-05-29 12:18:42,471 views 148534 123870820316864 No intent matched for message: 'asdasdas'
INFO 2025-05-29 12:18:42,471 views 148534 123870820316864 Detected intent 'unknown' for message: 'asdasdas'
INFO 2025-05-29 12:20:29,016 autoreload 148534 123875248567744 /home/dave/root/AgriConnect/chatbot/ai_chatbot.py changed, reloading.
INFO 2025-05-29 12:21:08,006 ai_chatbot 149702 135661378049472 Creating new AIChatbot instance
INFO 2025-05-29 12:21:08,006 ai_chatbot 149702 135661378049472 Initializing AIChatbot...
INFO 2025-05-29 12:21:08,007 ai_chatbot 149702 135661378049472 Attempting to load Blenderbot model...
INFO 2025-05-29 12:21:08,007 ai_chatbot 149702 135661378049472 Using device: cpu
